ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,FUELTYPE_E,FUELTYPE_X,FUELTYPE_Z,CO2EMISSIONS
2.0,4,9.9,6.7,8.5,33,0,0,1,196
2.4,4,11.2,7.7,9.6,29,0,0,1,221
1.5,4,6.0,5.8,5.9,48,0,0,1,136
3.5,6,12.7,9.1,11.1,25,0,0,1,255
3.5,6,12.1,8.7,10.6,27,0,0,1,244
3.5,6,11.9,7.7,10.0,28,0,0,1,230
3.5,6,11.8,8.1,10.1,28,0,0,1,232
3.7,6,12.8,9.0,11.1,25,0,0,1,255
3.7,6,13.4,9.5,11.6,24,0,0,1,267
2.4,4,10.6,7.5,9.2,31,0,0,1,212
2.4,4,11.2,8.1,9.8,29,0,0,1,225
3.5,6,12.1,8.3,10.4,27,0,0,1,239
5.9,12,18.0,12.6,15.6,18,0,0,1,359
5.9,12,18.0,12.6,15.6,18,0,0,1,359
4.7,8,17.4,11.3,14.7,19,0,0,1,338
4.7,8,18.1,12.2,15.4,18,0,0,1,354
4.7,8,17.4,11.3,14.7,19,0,0,1,338
4.7,8,18.1,12.2,15.4,18,0,0,1,354
5.9,12,18.0,12.6,15.6,18,0,0,1,359
2.0,4,9.9,7.4,8.8,32,0,0,1,202
2.0,4,11.5,8.1,10.0,28,0,0,1,230
2.0,4,10.8,7.5,9.3,30,0,0,1,214
2.0,4,11.5,8.1,10.0,28,0,0,1,230
2.0,4,11.5,8.1,10.0,28,0,0,1,230
2.0,4,10.8,7.5,9.3,30,0,0,1,214
2.0,4,12.0,8.1,10.2,28,0,0,1,235
3.0,6,12.8,8.6,10.9,26,0,0,1,251
3.0,6,9.8,6.4,8.3,34,0,0,0,224
3.0,6,13.1,8.8,11.2,25,0,0,1,258
3.0,6,9.8,6.4,8.3,34,0,0,0,224
3.0,6,13.1,8.8,11.2,25,0,0,1,258
4.0,8,13.5,8.6,11.3,25,0,0,1,260
3.0,6,10.0,6.4,8.4,34,0,0,0,227
3.0,6,13.1,8.8,11.2,25,0,0,1,258
4.0,8,14.7,9.7,12.5,23,0,0,1,288
6.3,12,18.2,12.6,15.7,18,0,0,1,361
3.0,6,10.1,6.5,8.5,33,0,0,0,230
2.0,4,11.8,8.8,10.5,27,0,0,1,242
2.0,4,12.0,8.5,10.4,27,0,0,1,239
3.0,6,12.9,9.2,11.2,25,0,0,1,258
2.0,4,9.9,8.3,9.2,31,0,0,1,212
3.0,6,10.3,7.6,9.1,31,0,0,0,246
3.0,6,15.1,10.9,13.2,21,0,0,1,304
3.0,6,12.9,8.4,10.9,26,0,0,0,294
4.2,8,17.6,11.0,14.6,19,0,0,1,336
4.2,8,21.2,13.4,17.7,16,0,0,1,407
